well,log_type,dt,p0_total,p0_zero,p0_cont,eps,n_samples
375-U1520C,GR,3,0.02512562814070352,0.0,0.02512562814070352,0.1260171233790104,5970
375-U1520C,GR,8,0.02196144174350377,0.0,0.02196144174350377,0.1260171233790104,5965
375-U1520C,GR,10,0.023813516686231762,0.0,0.023813516686231762,0.1260171233790104,5963
375-U1520C,GR,20,0.019150008399126492,0.0,0.019150008399126492,0.1260171233790104,5953
375-U1520C,GR,50,0.014857335809555968,0.0,0.014857335809555968,0.1260171233790104,5923
375-U1520C,GR,100,0.014983824280606163,0.0,0.014983824280606163,0.1260171233790104,5873
375-U1520C,GR,250,0.010833478944609471,0.0,0.010833478944609471,0.1260171233790104,5723
375-U1520C,GR,500,0.010049333089713137,0.0,0.010049333089713137,0.1260171233790104,5473
375-U1520C,GR,1000,0.0070380052282324555,0.0,0.0070380052282324555,0.1260171233790104,4973
392-U1579D,GR,1,0.06877637130801688,0.0,0.06877637130801688,0.046461594749834086,4740
392-U1579D,GR,3,0.031658927817644573,0.0,0.031658927817644573,0.046461594749834086,4738
392-U1579D,GR,8,0.018804141136699766,0.0,0.018804141136699766,0.046461594749834086,4733
392-U1579D,GR,10,0.020080321285140562,0.0,0.020080321285140562,0.046461594749834086,4731
392-U1579D,GR,20,0.020122855327261175,0.0,0.020122855327261175,0.046461594749834086,4721
392-U1579D,GR,50,0.01684075890002132,0.0,0.01684075890002132,0.046461594749834086,4691
392-U1579D,GR,100,0.012712777418659772,0.0,0.012712777418659772,0.046461594749834086,4641
392-U1579D,GR,250,0.009797372522823424,0.0,0.009797372522823424,0.046461594749834086,4491
392-U1579D,GR,500,0.0068380099033246875,0.0,0.0068380099033246875,0.046461594749834086,4241
392-U1579D,GR,1000,0.0056134723336006415,0.0,0.0056134723336006415,0.046461594749834086,3741
392-U1580A,GR,1,0.08793208004851426,0.0006064281382656155,0.08732565191024863,0.04460527936185575,3298
392-U1580A,GR,3,0.04733009708737864,0.0009101941747572816,0.04641990291262136,0.04460527936185575,3296
392-U1580A,GR,8,0.03555150410209663,0.00030385900941962927,0.035247645092677,0.04460527936185575,3291
392-U1580A,GR,10,0.03374885983581636,0.0,0.03374885983581636,0.04460527936185575,3289
392-U1580A,GR,20,0.02500762427569381,0.0,0.02500762427569381,0.04460527936185575,3279
392-U1580A,GR,50,0.017543859649122806,0.0,0.017543859649122806,0.04460527936185575,3249
392-U1580A,GR,100,0.014066895904970303,0.0,0.014066895904970303,0.04460527936185575,3199
392-U1580A,GR,250,0.011151197113807805,0.0,0.011151197113807805,0.04460527936185575,3049
392-U1580A,GR,500,0.006430868167202572,0.0,0.006430868167202572,0.04460527936185575,2799
392-U1580A,GR,1000,0.004349717268377556,0.0,0.004349717268377556,0.04460527936185575,2299
